,P1 (YG63LHK),P2 (YG62-1.5),P3 (YG62-1),P4 (YG62-0.5),P5 (YG62),P6 (YG61-2.5),P7 (YG61-2),P8 (YG61-1.5),P9 (YG61-1),P10 (YG61-0.9HX),P11 (YG61-0.75),P12 (YG61-0.5),P13 (YG61-0.25),P14 (YG61),P15 (YG60-1.75),P16 (YG60-1.5),P17 (YG60-1.25),P18 (YG60-1),P19 (YG60-0.5),P20 (YG60),P21 (YG59-0.5),P22 (YG58-1),P23 (YG59-2),P24 (YG59),P25 (YG58-1),P26 (YG58),P27 (YG57-1),P28 (YG57-2),P29 (YG57),P30 (YG56-1),P31 (YG56),P32 (YG55-1),P33 (YG55),P34 (YG54-1),P35 (YG54),P36 (YG53-2),P37 (YG53-1),P38 (YG53),P39 (YG52-1),P40 (YG52),P41 (YG51-1),P42 (YG51),P43 (YG50-1),P44 (YG50),P45 (YG49-1),P46 (YG49),P47 (YG48-1),P48 (YG48),P49 (YG47-2),P50 (YG47),P51 (YG47-1),P52 (YG46),P53 (YG46-1),P54 (YG45-1),P55 (YG45),P56 (YG44YGY)
P12 (YG61-0.5),1688.37,1440.48,1169.63,969.47,863.60,708.81,586.50,421.13,283.57,281.69,102.80,0.00,150.77,288.48,448.92,615.64,752.72,926.55,1172.79,1417.53,1023.28,1831.87,2105.57,2449.00,2921.02,3297.38,3625.26,3944.81,4281.77,4871.74,5335.03,5736.08,6121.69,6609.74,6807.62,6773.81,6952.16,7151.51,7188.77,7222.32,7055.89,7175.60,7540.84,7823.07,7953.55,7964.07,8009.57,8232.38,8641.35,9067.02,9113.64,9290.00,9742.09,10056.41,10469.47,10664.19
P13 (YG61-0.25),1839.11,1591.25,1320.30,1117.34,1008.06,850.14,725.01,560.91,427.31,432.39,251.60,150.77,0.00,140.55,311.22,485.75,631.94,810.17,1062.55,1309.65,954.14,1723.21,1995.55,2338.79,2813.74,3198.11,3531.10,3839.97,4168.09,4758.48,5219.43,5619.32,6004.17,6488.68,6678.19,6635.72,6815.49,7012.63,7045.34,7075.38,6907.53,7025.52,7390.83,7673.63,7805.46,7817.80,7866.31,8091.42,8499.95,8926.14,8976.37,9155.89,9606.66,9918.34,10330.46,10525.46
P14 (YG61),1975.24,1726.63,1454.54,1244.69,1130.39,969.18,841.75,680.88,553.29,568.01,385.58,288.48,140.55,0.00,177.25,355.52,507.59,687.54,943.02,1190.75,871.78,1602.47,1873.31,2215.97,2692.52,3082.30,3418.80,3719.83,4041.91,4632.42,5091.80,5490.92,5875.25,6357.62,6542.63,6496.53,6676.80,6873.18,6904.88,6935.02,6767.68,6887.35,7252.55,7534.59,7665.47,7677.32,7725.87,7951.40,8359.83,8786.14,8837.42,9018.14,9468.37,9779.11,10190.95,10386.03
P15 (YG60-1.75),2118.75,1868.66,1594.56,1371.40,1249.07,1084.30,955.42,802.90,687.60,717.89,536.98,448.92,311.22,177.25,0.00,178.60,332.82,512.88,769.34,1016.95,732.11,1427.42,1697.56,2039.93,2516.95,2908.97,3247.21,3544.53,3864.92,4455.44,4914.62,5313.68,5698.00,6180.49,6367.18,6325.87,6505.04,6703.21,6740.14,6776.91,6613.66,6741.45,7106.20,7384.89,7510.52,7517.62,7560.87,7783.51,8192.44,8618.16,8666.16,8844.83,9295.85,9608.50,10021.14,10215.98
P16 (YG60-1.5),2259.45,2008.64,1733.69,1499.55,1371.05,1205.13,1077.05,934.49,831.32,872.77,696.19,615.64,485.75,355.52,178.60,0.00,156.98,335.98,592.88,840.10,599.45,1249.47,1519.20,1861.45,2338.65,2731.98,3071.43,3366.32,3686.41,4276.92,4736.34,5135.57,5520.03,6003.32,6193.46,6159.32,6336.94,6537.56,6581.37,6626.45,6468.21,6605.65,6969.77,7244.44,7363.77,7365.08,7401.68,7620.55,8030.11,8455.04,8498.63,8674.37,9126.53,9441.81,9855.52,10050.02
P17 (YG60-1.25),2360.68,2109.88,1835.15,1591.66,1458.39,1293.10,1167.34,1035.69,944.79,995.72,825.38,752.72,631.94,507.59,332.82,156.98,0.00,180.09,436.59,684.14,475.03,1094.94,1365.76,1708.55,2184.93,2576.17,2914.90,3212.26,3536.27,4126.70,4587.49,4987.48,5372.45,5858.19,6055.80,6033.36,6208.62,6412.87,6466.22,6521.96,6369.89,6518.59,6881.85,7151.80,7263.61,7257.79,7285.81,7499.51,7909.87,8333.66,8370.90,8542.07,8995.99,9315.24,9730.46,9924.46
P18 (YG60-1),2502.97,2252.80,1979.11,1728.72,1592.17,1428.65,1305.95,1184.16,1102.98,1159.92,994.51,926.55,810.17,687.54,512.88,335.98,180.09,0.00,256.91,504.20,391.64,914.94,1186.09,1529.06,2005.09,2396.20,2735.48,3032.30,3358.08,3948.42,4410.02,4810.47,5195.77,5683.20,5886.70,5874.72,6047.75,6255.32,6317.80,6384.09,6238.34,6398.63,6760.86,7025.81,7129.90,7116.92,7136.50,7345.20,7756.27,8178.91,8210.27,8377.35,8832.79,9155.58,9572.16,9765.68
P19 (YG60-0.5),2700.47,2452.10,2181.07,1923.09,1783.42,1623.77,1506.28,1397.89,1329.19,1392.97,1234.64,1172.79,1062.55,943.02,769.34,592.88,436.59,256.91,0.00,247.74,381.65,660.67,933.44,1276.86,1751.19,2139.65,2478.56,2777.66,3108.98,3698.97,4162.48,4563.92,4949.88,5440.86,5655.91,5662.88,5831.91,6045.24,6123.34,6207.20,6071.92,6250.76,6611.04,6867.80,6959.34,6934.64,6940.12,7140.28,7552.40,7972.96,7994.17,8154.00,8612.05,8940.97,9359.80,9552.46
P20 (YG60),2911.11,2664.73,2396.47,2134.27,1993.20,1837.19,1723.89,1624.53,1563.40,1630.73,1476.48,1417.53,1309.65,1190.75,1016.95,840.10,684.14,504.20,247.74,0.00,527.58,414.35,688.17,1031.53,1504.37,1892.03,2231.82,2530.33,2865.23,3454.84,3919.69,4321.82,4708.23,5201.93,5426.61,5450.48,5615.78,5834.22,5926.63,6026.81,5901.49,6097.74,6455.83,6704.63,6784.33,6748.70,6741.17,6933.45,7346.37,7764.92,7777.08,7930.53,8390.77,8724.97,9145.71,9337.59
P21 (YG59-0.5),2396.68,2152.90,1888.76,1622.76,1480.90,1330.11,1223.81,1143.44,1105.68,1185.19,1057.20,1023.28,954.14,871.78,732.11,599.45,475.03,391.64,381.65,527.58,0.00,900.61,1167.65,1501.16,1952.71,2301.48,2617.46,2960.75,3327.16,3912.51,4383.53,4788.15,5175.94,5679.38,5927.02,5970.11,6132.47,6354.68,6453.09,6554.10,6426.98,6616.88,6976.01,7228.00,7310.88,7276.28,7266.99,7456.13,7869.40,8286.83,8292.32,8438.67,8901.49,9241.04,9663.34,9854.54
P22 (YG58-1),3297.21,3053.47,2788.65,2523.23,2381.42,2229.49,2120.39,2028.70,1973.03,2042.39,1890.15,1831.87,1723.21,1602.47,1427.42,1249.47,1094.94,914.94,660.67,414.35,900.61,0.00,274.27,617.32,1090.53,1485.03,1830.76,2117.38,2451.53,3040.89,3506.51,3909.11,4295.82,4791.88,5027.51,5074.42,5234.28,5459.82,5573.25,5698.27,5588.76,5812.26,6166.16,6401.98,6463.07,6410.71,6383.65,6564.27,6978.09,7393.53,7393.10,7538.06,8001.01,8342.18,8765.38,8956.13
P23 (YG59-2),3562.03,3319.59,3056.35,2789.90,2647.96,2497.74,2390.24,2301.10,2246.86,2316.57,2164.36,2105.57,1995.55,1873.31,1697.56,1519.20,1365.76,1186.09,933.44,688.17,1167.65,274.27,0.00,343.45,819.48,1224.48,1576.47,1847.35,2177.29,2766.73,3232.25,3634.89,4021.67,4518.47,4759.55,4820.39,4976.76,5206.63,5333.43,5474.60,5375.69,5617.07,5967.71,6194.67,6243.47,6180.25,6140.65,6313.84,6728.06,7141.46,7133.43,7273.43,7737.87,8083.03,8507.62,8697.67
P24 (YG59),3889.00,3648.48,3387.61,3119.96,2977.98,2830.19,2724.97,2639.61,2587.97,2658.61,2507.41,2449.00,2338.79,2215.97,2039.93,1861.45,1708.55,1529.06,1276.86,1031.53,1501.16,617.32,343.45,0.00,479.26,899.23,1258.35,1506.74,1834.52,2423.65,2889.98,3293.10,3680.17,4179.39,4431.89,4516.77,4667.23,4904.04,5051.92,5217.53,5134.56,5401.55,5746.85,5960.64,5991.41,5912.10,5853.43,6014.91,6429.51,6839.49,6819.29,6950.98,7417.83,7769.47,8196.18,8385.08
